Conference,Submission,Notification,Other
IJCAI,January,April,[Official Collection](https://www.ijcai.org/past_proceedings)
KDD,February,May,
CIKM,May,August,
AAAI,Aug,November,
WWW,October,January,TheWebConf
ICML,January,May,
NeurIPS,May,September,[Official Collection](https://papers.nips.cc/)
ICLR,October,January,
IROS,March,June,[Official Collection](https://ieeexplore.ieee.org/xpl/conhome/1000393/all-proceedings)
ICRA,September,January,[Official Collection](https://ieeexplore.ieee.org/xpl/conhome/1000639/all-proceedings)
