Year,Submission,Notification,Link,Web
2015,,,https://dblp.org/db/conf/aaai/aaai2015.html,
2016,,,https://dblp.org/db/conf/aaai/aaai2016.html,
2017,,,https://dblp.org/db/conf/aaai/aaai2017.html,
2018,,,https://dblp.org/db/conf/aaai/aaai2018.html,
2019,,,https://dblp.org/db/conf/aaai/aaai2019.html,
2020,,,https://dblp.org/db/conf/aaai/aaai2020.html,
2021,,,https://dblp.org/db/conf/aaai/aaai2021.html,
2022,,,https://dblp.org/db/conf/aaai/aaai2022.html,
2023,2022-08-15,,https://dblp.org/db/conf/aaai/aaai2023.html,https://aaai.org/Conferences/AAAI-23/
2024,2023-08-15,2023-11-09,https://dblp.org/db/conf/aaai/aaai2024.html,https://aaai.org/conference/aaai/aaai-24/
2025,2024-08-15,2024-11-09,https://aaai.org/conference/aaai/aaai-25/main-technical-track/,https://aaai.org/conference/aaai/aaai-25/

