Year,Submission,Notification,Link,Web
2015,,,https://www.ijcai.org/Proceedings/2015,
2016,,,https://www.ijcai.org/proceedings/2016,
2017,,,https://ijcai-17.org/accepted-papers.html,
2018,,,https://www.ijcai-18.org/accepted-papers/index.html,
2019,,,https://www.ijcai19.org/accepted-papers.html,
2020,,,http://static.ijcai.org/2020-accepted_papers.html,
2021,,,https://ijcai-21.org/program-main-track/,
2022,2022-01-14,2022-04-20,https://ijcai-22.org/main-track-accepted-papers/,
2023,2023-01-18,2023-04-19,https://ijcai-23.org/main-track-accepted-papers/,https://ijcai-23.org/
2024,2024-01-17,2024-04-16,https://ijcai24.org/main-track-accepted-papers/,https://ijcai24.org/
2025,2025-01-23,2025-04-28,,https://2025.ijcai.org/
